Month,Customer,Region,SalesChannel,CustomerSegment,Product,Category,Qty,Price,Cost,CompetitorPrice,PriceIncreaseHistory,PromotionFlag,Revenue,TotalCost,Profit,MarginPct
2025-01,Customer 01,East Indonesia,Modern Trade,Distributor,SKU 06,Snack,832,22925,15078,23765,5%,N,19073600,12544896,6528704,0.3423
2025-01,Customer 01,East Indonesia,General Trade,Distributor,SKU 19,Personal Care,84,39096,25986,37623,0%,N,3284064,2182824,1101240,0.3353
2025-01,Customer 01,East Indonesia,Modern Trade,Distributor,SKU 02,Beverage,758,9345,6657,10142,0%,N,7083510,5046006,2037504,0.2876
2025-01,Customer 01,East Indonesia,General Trade,Distributor,SKU 08,Snack,1074,32172,26095,32427,8%,N,34552728,28026030,6526698,0.1889
2025-01,Customer 01,East Indonesia,General Trade,Distributor,SKU 01,Beverage,238,23957,15218,21918,5%,N,5701766,3621884,2079882,0.3648
2025-01,Customer 01,East Indonesia,General Trade,Distributor,SKU 11,Dairy,702,8918,7168,9326,0%,N,6260436,5031936,1228500,0.1962
2025-01,Customer 01,East Indonesia,Online,Distributor,SKU 13,Frozen,282,10685,8855,10576,0%,Y,3013170,2497110,516060,0.1713
2025-01,Customer 01,East Indonesia,Online,Distributor,SKU 20,Personal Care,860,14924,11333,14841,3%,Y,12834640,9746380,3088260,0.2406
2025-01,Customer 02,Central Indonesia,Modern Trade,Key Account,SKU 02,Beverage,578,8260,5554,8969,3%,N,4774280,3210212,1564068,0.3276
2025-01,Customer 02,Central Indonesia,Modern Trade,Key Account,SKU 17,Personal Care,700,25390,16620,27336,0%,N,17773000,11634000,6139000,0.3454
2025-01,Customer 02,Central Indonesia,Modern Trade,Key Account,SKU 06,Snack,240,23299,15307,24780,0%,N,5591760,3673680,1918080,0.343
2025-01,Customer 02,Central Indonesia,Modern Trade,Key Account,SKU 11,Dairy,703,9661,7469,9166,0%,Y,6791683,5250707,1540976,0.2269
2025-01,Customer 02,Central Indonesia,Modern Trade,Key Account,SKU 13,Frozen,1195,9706,6439,10087,0%,N,11598670,7694605,3904065,0.3366
2025-01,Customer 02,Central Indonesia,General Trade,Key Account,SKU 08,Snack,1008,27741,20872,25252,8%,N,27962928,21038976,6923952,0.2476
2025-01,Customer 02,Central Indonesia,Modern Trade,Key Account,SKU 20,Personal Care,1134,14371,12163,14865,0%,N,16296714,13792842,2503872,0.1536
2025-01,Customer 02,Central Indonesia,Online,Key Account,SKU 04,Beverage,822,20219,14508,19809,5%,N,16620018,11925576,4694442,0.2825
2025-01,Customer 03,West Indonesia,General Trade,Distributor,SKU 20,Personal Care,314,14764,11874,14851,0%,N,4635896,3728436,907460,0.1957
2025-01,Customer 03,West Indonesia,Modern Trade,Distributor,SKU 15,Frozen,506,48754,36968,47283,5%,N,24669524,18705808,5963716,0.2417
2025-01,Customer 03,West Indonesia,Online,Distributor,SKU 05,Snack,202,14047,11545,15270,3%,N,2837494,2332090,505404,0.1781
2025-01,Customer 03,West Indonesia,General Trade,Distributor,SKU 13,Frozen,305,9613,6011,8661,0%,Y,2931965,1833355,1098610,0.3747
2025-01,Customer 03,West Indonesia,Modern Trade,Distributor,SKU 08,Snack,877,29714,25215,26850,0%,N,26059178,22113555,3945623,0.1514
2025-01,Customer 03,West Indonesia,General Trade,Distributor,SKU 02,Beverage,453,8587,6316,8821,3%,N,3889911,2861148,1028763,0.2645
2025-01,Customer 03,West Indonesia,General Trade,Distributor,SKU 11,Dairy,281,9519,7834,10080,3%,N,2674839,2201354,473485,0.177
2025-01,Customer 03,West Indonesia,General Trade,Distributor,SKU 01,Beverage,1017,25181,16557,25543,0%,N,25609077,16838469,8770608,0.3425
2025-01,Customer 04,West Indonesia,Modern Trade,Distributor,SKU 19,Personal Care,619,37843,28099,38713,0%,N,23424817,17393281,6031536,0.2575
2025-01,Customer 04,West Indonesia,General Trade,Distributor,SKU 02,Beverage,205,8569,5832,7946,3%,N,1756645,1195560,561085,0.3194
2025-01,Customer 04,West Indonesia,General Trade,Distributor,SKU 11,Dairy,814,9560,6348,8760,3%,Y,7781840,5167272,2614568,0.336
2025-01,Customer 04,West Indonesia,General Trade,Distributor,SKU 17,Personal Care,69,26181,20303,28223,0%,N,1806489,1400907,405582,0.2245
2025-01,Customer 04,West Indonesia,Modern Trade,Distributor,SKU 10,Dairy,890,48606,37329,45252,5%,N,43259340,33222810,10036530,0.232
2025-01,Customer 04,West Indonesia,General Trade,Distributor,SKU 15,Frozen,623,42377,25821,41192,0%,Y,26400871,16086483,10314388,0.3907
2025-01,Customer 04,West Indonesia,General Trade,Distributor,SKU 12,Dairy,1134,8448,7107,9025,0%,Y,9580032,8059338,1520694,0.1587
2025-01,Customer 04,West Indonesia,Online,Distributor,SKU 07,Snack,923,46187,36096,46337,5%,N,42630601,33316608,9313993,0.2185
2025-01,Customer 04,West Indonesia,Modern Trade,Distributor,SKU 04,Beverage,887,19078,14995,17873,0%,Y,16922186,13300565,3621621,0.214
2025-01,Customer 04,West Indonesia,Modern Trade,Distributor,SKU 20,Personal Care,1070,13378,11087,12681,0%,Y,14314460,11863090,2451370,0.1713
2025-01,Customer 04,West Indonesia,General Trade,Distributor,SKU 18,Personal Care,953,29789,23368,30454,0%,N,28388917,22269704,6119213,0.2155
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 06,Snack,817,26573,19272,27550,8%,N,21710141,15745224,5964917,0.2748
2025-01,Customer 05,East Indonesia,Online,Retailer,SKU 08,Snack,309,27692,20670,28110,3%,N,8556828,6387030,2169798,0.2536
2025-01,Customer 05,East Indonesia,Modern Trade,Retailer,SKU 02,Beverage,1014,8924,7454,9747,0%,N,9048936,7558356,1490580,0.1647
2025-01,Customer 05,East Indonesia,Modern Trade,Retailer,SKU 03,Beverage,449,44050,30584,45091,3%,N,19778450,13732216,6046234,0.3057
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 09,Dairy,659,25348,15356,24242,3%,Y,16704332,10119604,6584728,0.3942
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 16,Frozen,1157,50037,39217,47855,5%,Y,57892809,45374069,12518740,0.2162
2025-01,Customer 05,East Indonesia,Modern Trade,Retailer,SKU 13,Frozen,242,10559,8266,10031,5%,N,2555278,2000372,554906,0.2172
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 07,Snack,86,43303,33341,41035,0%,N,3724058,2867326,856732,0.2301
